"Profits","Profitable/Unprofitable"
14335,1
19280,1
10483,1
11025,1
6276,1
4858,1
12535,1
2717,1
11728,1
7660,1
8055,1
-1606,2
3651,1
823,1
-10949,2
1151,1
3696,1
12275,1
13425,1
3822,1
13436,1
70,1
503,1
1086,1
-1982,2
1707,1
1312,1
2661,1
2488,1
4745,1
2006,1
12266,1
767,1
1280,1
14569,1
3829,1
1433,1
13385,1
8635,1
1463,1
1783,1
2152,1
3024,1
1003,1
648,1
-2855,2
235,1
28,1
5946,1
-2246,2
-1098,2
3021,1
-21553,2
1056,1
5704,1
3307,1
6134,1
3638,1
98,1
1686,1
4369,1
1277,1
683,1
3124,1
895,1
-2436,2
854,1
2394,1
1346,1
1023,1
6824,1
1040,1
2153,1
5746,1
-3378,2
1054,1
-329,2
740,1
202,1
-71969,2
2468,1
-338,2
-1237,2
12901,1
1755,1
-537,2
2130,1
-2915,2
-459,2
381,1
204,1
-115,2
6342,1
1935,1
828,1
-887,2
3622,1
1161,1
902,1
-30860,2
